,ORF,CAI,dS,dN,dN/dS,dS adjusted,dN/dS adjusted,orf,fitness,fdS,fdN,fdNdS,fdSadj,fdNdSadj
YAL002W,YAL002W,0.27325,1.391,0.170400412,0.122502093,1.94297,0.087701,YAL002W,0.983,0.3307415619122278,-1.763752869087391,-2.0914971756892893,0.6647322738204058,-2.422484115772995
YAL005C,YAL005C,0.7435,0.5935,0.024600063,0.041449137000000004,2.09537,0.0117402,YAL005C,1.008,-0.5200345628513005,-3.6651604665621482,-3.1594486962311983,0.7402072775973453,-4.362992930374214
YAL007C,YAL007C,0.386,1.147,0.097299938,0.084829937,1.92672,0.050500300000000005,YAL007C,1.005,0.1380212978973746,-2.3197318825514937,-2.4553874172613654,0.6563379574259477,-2.966167646086695
YAL008W,YAL008W,0.2705,1.2749,0.209299481,0.164169332,1.8213099999999998,0.114917,YAL008W,1.008,0.24365181194556035,-1.559222664179524,-1.8007840767752918,0.600104927065468,-2.1548808612217853
YAL009W,YAL009W,0.25975,1.0385,0.063800132,0.061434889000000006,1.5632,0.040813800000000004,YAL009W,0.9420000000000001,0.03873982831593044,-2.736447638588946,-2.773631041265572,0.44737451118537386,-3.1745288503961433
YAL010C,YAL010C,0.24825,1.4399,0.173900353,0.120772521,1.94137,0.0895761,YAL010C,0.982,0.3652679183567512,-1.743538878663448,-2.1056005567129192,0.6639088769532261,-2.4015648976432207
YAL011W,YAL011W,0.278,1.8543,0.213199887,0.114975941,2.41586,0.08825010000000001,YAL011W,0.9570000000000001,0.618046408050695,-1.540845648512979,-2.1543725145596135,0.8824691769986442,-2.416312737874837
YAL012W,YAL012W,0.528,0.9632,0.03169998,0.032911109,2.02976,0.015617600000000002,YAL012W,0.922,-0.03645653701061521,-3.4203808126999116,-3.384012619162316,0.7084101072258576,-4.0972929043142745
YAL014C,YAL014C,0.23825,1.1394,0.241700241,0.212129402,1.62067,0.149136,YAL014C,1.012,0.13137907805637974,-1.4159281732546067,-1.5458557766122034,0.4834564824662045,-1.8962137289931655
YAL015C,YAL015C,0.271,1.3327,0.20599910800000001,0.154572753,1.88012,0.10956700000000001,YAL015C,0.992,0.2879570346462117,-1.5750407949047964,-1.86064179182576,0.631867344137294,-2.2021336069293995
YAL016W,YAL016W,0.32825,1.0115,0.03870015,0.038260157999999996,1.6745700000000001,0.0231105,YAL016W,0.9620000000000001,0.01242251999855711,-3.2264003129585985,-3.2375450656895515,0.5161534058960878,-3.7251078487212226
